sentiment,lat,lon
0.0,-8.23775,-34.9797573
2.0,42.2959904,-71.83017555
0.0,36.25507241,139.42639145
0.0,59.94223799,30.48893223
0.0,41.31571618,-72.92754025
0.0,41.31571618,-72.92754025
1.0,51.4333079,0.07008011
3.0,52.83952262,-6.91804004
-13.0,35.5588914,-77.3508183
2.0,7.21843,5.21438
0.0,-0.17486,-78.48847
0.0,56.8504008,41.3921906
0.0,10.5724,7.46112
-1.0,7.1311275,-73.1251777
0.0,33.19783836,130.02810286
0.0,-26.02951027,-48.85989217
0.0,40.9874494,14.2115167
0.0,40.61630404,-74.03049784
0.0,40.61630404,-74.03049784
0.0,4.44163,-75.24362
0.0,-6.25368692,106.73117615
0.0,38.5407411,-0.1367655
0.0,39.6448429,-104.9680914
0.0,40.8302964,29.4174
3.0,34.1045796,35.6668773
0.0,40.9966132,39.647658
0.0,9.07609155,-79.51478976
0.0,59.12218456,10.23732545
0.0,36.7031559,-6.1039769
0.0,41.56601834,2.0259692
-8.0,42.02686745,-93.64144784
0.0,49.39813878,6.15072847
0.0,44.0466917,-91.695506
-3.0,45.512054,-122.434531
0.0,35.75040894,-78.84585816
-1.0,39.85224574,-75.12518351
0.0,51.518717,-0.19664925
12.0,55.93827427,-3.99437956
0.0,51.56355707,-0.20479258
0.0,48.88537288,2.33824734
0.0,26.555,-78.81834
0.0,18.0220358,-92.906083
0.0,41.1207323,37.2989483
0.0,48.64746839,2.10972096
0.0,36.18943415,-86.68825977
-4.0,41.84689943,-87.61778794
0.0,21.42078,40.47470288
1.0,37.3104647,27.7830062
0.0,51.50346687,-0.11964798
3.0,52.31927241,-2.05305001
0.0,29.33078217,47.6880596
0.0,46.5617562,0.0496394
0.0,33.73561267,-117.77027006
0.0,21.2665576,40.4337368
0.0,40.73417851,31.56855545
-2.0,48.94927052,2.34074502
0.0,37.35255309,-122.03448711
0.0,29.6157985,52.5637774
0.0,37.225195,-121.982245
0.0,-15.6520734,-56.1289007
0.0,-21.56879139,-45.45074699
0.0,42.6352507,-5.5622824
0.0,47.99356721,0.18348953
0.0,55.84225868,-4.25072664
0.0,49.53851833,11.16365418
0.0,34.00129132,-118.46103937
0.0,25.72145381,-100.39887231
0.0,43.3644498,5.3361312
0.0,53.8560497,27.6335371
0.0,40.75538459,-73.88606071
0.0,40.86797394,31.22204922
0.0,40.0127925,-6.238748
0.0,-25.5256108,-54.6651401
0.0,40.94505035,29.13316088
2.0,41.1113889,-74.6775
0.0,10.9989486,-74.7899492
0.0,38.3246471,26.6371614
0.0,40.18872811,29.06793008
0.0,-22.94826823,-43.18379009
0.0,39.729126,-90.2451859
-2.0,24.4757277,54.3457694
0.0,48.79421534,2.43063632
0.0,53.80056473,-2.49231405
0.0,24.09572,38.08704
0.0,48.94953436,2.38018055
0.0,52.4844242,-1.8908111
0.0,50.58737156,30.48416262
0.0,33.21126931,-87.54365884
0.0,51.37292458,42.11260917
0.0,21.4978551,39.9541926
0.0,51.4927884,-0.2977265
2.0,38.63152733,-78.76798891
0.0,-29.7648862,-57.0901792
0.0,30.0688966,31.2956784
0.0,25.6168356,-103.3921299
0.0,37.42183339,31.84464934
4.0,54.56009873,-6.03162926
3.0,41.0374097,21.3400353
0.0,15.6036196,32.5581905
0.0,38.6808268,-6.3999108
3.0,37.64028069,-91.12437171
0.0,53.68051769,-2.66168615
0.0,26.26927687,50.21263096
0.0,43.6276927,3.8742657
0.0,33.51076209,-111.88217707
0.0,-1.509064,-48.6865859
2.0,3.13464707,101.75198772
0.0,-1.4595878,-48.5033855
0.0,41.72584824,-70.94686322
0.0,54.95726282,-1.70235351
0.0,44.94982715,-0.65285201
0.0,4.23365017,103.41078442
0.0,21.6304945,39.16078
0.0,-34.5704397,-58.5797536
-11.0,38.9810968,-76.94050633
0.0,37.16439733,-3.60289202
0.0,53.49711645,-2.30326489
0.0,37.35481264,-77.35260976
-2.0,38.62152432,-76.96639821
1.0,33.6063275,-85.8237257
0.0,40.21282705,28.99582338
3.0,41.4074808,2.16115
-1.0,40.11588308,-88.24387746
0.0,24.78140839,46.7304991
0.0,40.64528206,29.07621905
-1.0,18.0147239,-66.7733928
1.0,43.7756388,-79.3448015
0.0,-19.50327219,-42.59965608
0.0,-30.12913765,-51.22257723
0.0,-22.882538,-43.3462704
0.0,48.29515849,2.19790214
0.0,42.79799854,-87.78426705
0.0,19.1838829,-96.1365656
0.0,40.00826944,-3.5725076
0.0,43.3333624,-4.0420756
0.0,38.43815723,27.14709918
-1.0,-0.59482684,-80.40898053
0.0,42.32939185,-71.08921982
0.0,48.71578528,44.52986211
0.0,41.07809035,28.96732003
0.0,3.1321198,101.7362988
1.0,54.58183367,-1.35681059
0.0,41.1135639,29.1018835
0.0,46.33598853,6.1628565
0.0,36.2971884,-115.2639859
0.0,54.55423974,-6.00967484
0.0,41.0349971,40.5090413
0.0,53.39444527,-2.97932524
0.0,51.99972879,4.40105599
-1.0,40.6290163,-3.5746919
0.0,48.85008016,2.40499376
0.0,-29.89333397,-50.26803623
0.0,55.93690605,-3.46180113
0.0,40.78453939,-73.95667945
1.0,34.68411003,-82.82162778
0.0,57.66017649,14.6416472
0.0,10.01103951,-84.10120103
0.0,51.50366516,-0.19073767
-9.0,-2.1594109,-79.9295967
0.0,26.14783874,-80.28663672
0.0,40.9914225,29.0785789
0.0,53.1716011,5.4277427
0.0,40.6864871,15.2269936
-6.0,51.51638034,-0.41655499
0.0,51.68036979,5.32941586
6.0,52.03993654,0.96364251
1.0,41.47899653,-81.72912162
0.0,41.66702932,26.57652855
0.0,40.9325953,-73.8852547
0.0,39.90743001,-83.81418253
0.0,-23.5484732,-46.7692775
0.0,-31.4226892,-64.1510249
0.0,40.89836933,29.19355008
0.0,37.9771148,-1.1771022
0.0,37.07154832,-77.97055911
0.0,-25.36805215,-49.08066568
0.0,-27.4718526,-58.8362733
0.0,51.2022002,-1.4685151
0.0,42.2100559,-8.7631455
0.0,33.7479357,-84.4154592
0.0,38.71935376,-90.33539509
0.0,51.90124593,-8.1615595
3.0,-26.7097,27.09907
0.0,32.5435407,35.8524916
0.0,36.88433665,30.70580158
0.0,40.39669868,-3.6824786
0.0,-6.95291091,107.68283545
0.0,38.93624461,-76.99938005
2.0,38.52902818,-105.9991658
0.0,42.67317199,-83.21861763
0.0,50.68497882,3.14172789
0.0,-6.29161,106.80004
0.0,37.6824843,-1.6842101
1.0,51.65131454,0.08002717
0.0,37.52966461,-122.28684978
0.0,34.01111899,-83.70353777
0.0,40.00985406,-75.08911337
-2.0,18.0025634,-94.5436982
-1.0,54.55084988,-1.21704617
0.0,55.80727131,37.32825944
0.0,40.05654053,-2.12864888
2.0,38.90644679,-77.03847197
0.0,55.8362243,37.4857182
0.0,24.8046609,46.78871528
0.0,40.418417,-3.7350176
0.0,47.1835806,-1.5906922
0.0,43.2625983,-2.9409112
0.0,32.13345917,-110.93030729
0.0,7.91328051,-72.46726966
0.0,53.42661189,-2.89469992
-2.0,39.40207695,-76.76025778
2.0,5.6303678,-0.1060489
0.0,40.85253144,31.22890626
0.0,1.48956,124.85992
0.0,55.9443778,-3.2280815
0.0,48.54150573,2.62463363
0.0,40.4013507,-3.7238468
3.0,39.87576873,-75.39084932
0.0,49.546203,6.3264
0.0,36.943487,-76.27033658
0.0,33.91692121,-84.07879292
-1.0,18.88223842,-99.22290159
4.0,42.36318582,-71.1042767
-1.0,51.7436483,-0.2309217
0.0,-23.5088327,-46.4911397
-1.0,-34.9099699,-56.1488641
0.0,39.1619357,-76.6018199
0.0,-7.48842175,112.44831925
0.0,46.5901925,3.4840198
0.0,53.18676023,-2.52060324
0.0,41.01637549,28.64564724
0.0,44.17684304,-91.84243804
0.0,51.69991555,0.43353165
2.0,52.934491,-1.201806
0.0,18.01623,-76.7397
-6.0,50.4125542,4.3198573
0.0,9.3116009,-75.3999377
0.0,51.05726591,-1.30517879
-7.0,48.41612544,-122.33241825
0.0,24.76916,46.81356
-2.0,42.17138707,-71.87884429
0.0,55.37674717,36.73444758
3.0,35.25985183,-97.48144185
-3.0,-5.12047,119.41531
-4.0,40.02321939,-75.1607948
0.0,56.93955231,12.5997076
0.0,39.95182478,-75.59779635
0.0,-6.23059618,107.02822912
2.0,38.60057342,-0.09316573
0.0,53.2092714,5.848027
0.0,-23.54542549,-46.68787301
0.0,49.11088096,6.28385676
0.0,51.04111603,-3.06626833
0.0,-6.8904307,107.6169134
0.0,51.28817466,-2.80971413
0.0,37.72392793,-97.30021642
0.0,51.49154921,5.66851513
0.0,39.69063371,-79.87274189
0.0,51.57487706,5.1869407
0.0,37.20982383,28.36541176
-5.0,39.1440103,-75.98129159
0.0,36.5359781,-6.2968167
0.0,51.76798913,-1.19132224
0.0,-22.41662678,-42.97243012
0.0,36.12023159,-115.17637253
0.0,46.06433496,4.12799357
0.0,48.83011911,2.24668584
3.0,30.28738522,-97.74108564
0.0,54.07659279,9.97961633
0.0,32.85724809,-97.00193289
0.0,39.47484667,-0.36327292
0.0,40.05482427,-75.37287044
0.0,38.6517688,-121.4921983
0.0,25.67592206,-100.29176077
0.0,18.2707746,42.7191602
0.0,-6.87733,107.61478
0.0,23.7691936,-99.1565244
0.0,39.4963295,-74.49838225
0.0,52.43691281,-1.64541716
0.0,29.2288785,48.0559195
1.0,40.86214597,-74.18100857
0.0,38.43854725,-78.87257217
0.0,40.59051862,-79.71314343
0.0,47.64374069,-122.1375737
0.0,48.96201897,1.8926215
1.0,25.08872185,55.17218113
0.0,41.0238623,29.0998386
-2.0,35.33972537,-119.03608959
0.0,41.3023933,36.3275119
-4.0,43.17810005,-77.59594842
4.0,57.71716292,-3.29846751
0.0,37.23269112,-120.25800769
0.0,51.51870789,-3.40105805
-1.0,21.02005282,-89.60644093
1.0,-2.963456,104.7222216
1.0,-2.963456,104.7222216
0.0,24.7445289,46.64870644
0.0,41.90834408,-87.75816762
0.0,10.45691836,-73.23895494
0.0,-34.8515768,-58.4993511
0.0,25.85050976,-80.12137005
0.0,38.0382629,-1.4913919
0.0,43.73834839,7.41443126
0.0,30.42848629,-97.74271976
0.0,18.4136839,-70.0982421
0.0,51.5428424,-0.14908208
-1.0,31.16201242,73.92209659
0.0,39.50541552,-0.44597985
0.0,51.75384827,-3.38372259
0.0,40.58875838,-74.08714249
0.0,25.74855813,-100.30159104
0.0,-23.37203078,-50.83799304
0.0,39.58509028,27.02723533
0.0,29.2971737,47.96107298
-8.0,41.54220012,-87.64364124
0.0,40.66708644,16.61108804
-1.0,41.65216415,-70.99243889
0.0,6.17068013,-75.58601713
0.0,45.64208909,8.76961463
0.0,42.43786965,-84.0958778
1.0,49.2561982,2.48888942
-1.0,6.4458009,3.416054
0.0,-33.44778637,-70.63213089
1.0,10.6943,-71.63842
0.0,30.79323797,-81.65407435
-1.0,30.3309911,-81.65269195
0.0,39.87689956,32.86422327
-2.0,-33.4526539,-70.6878222
0.0,35.61692294,139.65939017
0.0,53.55191792,-2.61040982
3.0,46.94403306,-122.58704246
-2.0,30.02656361,-90.05416738
0.0,32.71872276,-117.1320663
0.0,53.24485461,-2.51133947
-1.0,55.85935741,-4.28117597
3.0,42.0948217,-75.9145905
0.0,3.22254292,101.69533637
0.0,39.50606146,2.53216372
0.0,-23.4065291,-51.8857386
0.0,4.4411718,-75.2067531
0.0,47.99832596,2.74709836
1.0,31.15965642,-81.38806351
0.0,40.9859983,29.1797009
0.0,48.29648,2.20265
3.0,52.63345197,1.31462519
0.0,5.33351465,102.26493628
0.0,-23.5088327,-46.4911397
0.0,38.39209436,27.1514225
0.0,48.8423826,2.2599793
0.0,30.2499755,-87.68946362
0.0,21.000776,-89.6564132
0.0,52.19588489,6.9074409
-7.0,39.97470286,-75.19850814
0.0,-19.8329984,-43.9573756
0.0,53.50161085,-2.88053904
0.0,42.81419357,-1.65990698
0.0,48.9631858,2.1935821
-1.0,32.9492901,-96.99291888
0.0,37.903525,32.545852
0.0,43.36997876,5.79043909
0.0,31.86844258,-106.55057578
7.0,39.99338901,-84.40886435
0.0,55.81912765,37.51649924
0.0,51.05308746,4.35253137
0.0,17.4463901,44.7189118
3.0,30.00606633,-90.22097647
0.0,49.11661012,6.17646498
-1.0,41.39046995,2.14375126
0.0,-0.04406,109.31345
0.0,51.00687091,-2.16538786
0.0,37.1619944,-3.5807311
0.0,47.97863293,2.78997875
0.0,39.11406171,-77.20001852
0.0,42.86151881,-2.65504719
0.0,-25.4236682,-49.3633551
-4.0,30.31984142,-86.13754613
0.0,34.18764569,-92.0392002
0.0,48.90872693,2.43680619
0.0,-23.0807024,-52.4628498
0.0,3.7530585,102.5653743
0.0,-27.481492,-58.8073251
0.0,30.2277324,-97.7450576
0.0,23.63802889,58.23392205
0.0,38.37800203,26.89168121
0.0,24.6923216,46.6502658
0.0,54.4000263,32.4375019
0.0,51.61953196,-0.2977739
0.0,8.9948222,-79.5363428
-2.0,51.46564127,0.00142761
0.0,41.22016776,-8.41051298
-1.0,37.3976095,-5.9656958
-1.0,52.57107413,-2.02027859
0.0,-31.7645905,-52.3378001
1.0,31.884787,-106.4202772
0.0,-8.43728,115.1353
0.0,36.03116989,-115.00741578
0.0,29.68606023,-95.22860052
0.0,41.69925252,-83.70559189
0.0,59.94108366,30.48435007
1.0,40.74361646,-73.9997519
0.0,-29.7554374,-51.1349012
0.0,54.9464472,-1.55475167
-2.0,48.28690193,14.30476821
0.0,41.05915429,28.95881619
5.0,40.76378286,-73.96707902
3.0,28.81270392,-81.39085229
0.0,59.63389109,17.05321088
0.0,-23.5962093,-46.5330576
0.0,55.64770528,37.65457246
0.0,35.57536336,-78.53467044
0.0,-18.66258787,-48.20282478
0.0,-25.84576,29.24609
0.0,52.95516398,-1.16944413
1.0,16.67919184,120.33872828
-3.0,39.72739424,-82.59453407
0.0,51.17140438,4.50430753
0.0,46.240962,6.2081573
0.0,4.1738508,73.5071891
0.0,-30.1203639,-51.2122886
0.0,45.50909308,-122.6836459
0.0,40.98293548,29.0678463
0.0,-22.88090047,-42.01272461
0.0,-23.4917449,-46.7616967
2.0,-22.902514,-43.2819001
0.0,41.04170099,28.93693807
0.0,41.0152226,28.7067457
0.0,38.81851604,-81.36320062
2.0,40.03684159,-82.43178354
0.0,48.95130732,2.56729835
0.0,37.7888602,-122.4113726
0.0,29.1078827,48.11574513
0.0,37.6109953,-0.9955139
0.0,-27.5967511,-48.5435638
0.0,-23.4775618,-46.709708
0.0,37.3948358,-5.9921229
-2.0,51.4894554,-3.1724832
0.0,51.40098836,-0.19679516
0.0,36.6792113,-6.1075395
-1.0,11.7027827,-70.171175
0.0,51.9151833,4.351577
-7.0,41.94471018,-84.90402355
0.0,22.56722107,59.5432118
0.0,41.2074366,-8.2766226
0.0,49.02342472,-0.03905701
3.0,51.051816,3.7298783
0.0,40.17297333,-8.87189857
-1.0,40.54653536,-84.4086896
0.0,52.50461755,13.3532203
0.0,32.00549936,34.79619379
0.0,41.0337597,29.1448838
3.0,29.33021338,47.77096364
0.0,42.98454846,-70.95808416
0.0,24.43185222,39.58137551
-2.0,54.0036798,-1.57491588
0.0,29.7982081,-95.71795789
0.0,-22.9728743,-47.1277728
0.0,49.8269007,24.0262716
-2.0,33.93943977,-84.13023743
0.0,40.64515623,29.07630739
7.0,41.05482149,-83.60929455
-6.0,40.4292521,-79.97556497
-1.0,53.80604775,-1.03908813
1.0,52.58645091,-0.21908578
0.0,33.20999526,-87.5477174
0.0,29.56758756,-95.59140273
0.0,41.76567106,-87.61517403
0.0,33.5880255,-79.07610876
0.0,53.4037,-1.51754
0.0,38.25542073,-85.73653414
0.0,33.89530718,-83.88093724
0.0,50.87468068,4.40228971
-1.0,14.288307,120.9979534
-1.0,-33.3947965,-70.6275425
-3.0,37.66803288,-77.45225232
4.0,-29.8411836,30.9600125
-2.0,39.9921735,-75.1142684
0.0,16.6980956,42.1219588
0.0,37.771055,-1.4987402
0.0,15.0872486,-89.5306384
0.0,48.83373917,4.98655903
-2.0,53.61457843,-6.19963193
0.0,48.84560505,2.5749182
0.0,25.56576,47.15108
0.0,-20.1793409,-40.2055435
2.0,36.96390607,-86.44738826
0.0,28.9508433,-13.5952709
0.0,-23.37204076,-50.83797167
3.0,53.54129931,-1.48232969
0.0,49.07986593,6.06162603
0.0,59.94607781,30.28724661
3.0,54.5438329,-1.5796788
2.0,30.306098,-97.9523768
-3.0,32.79420585,-116.94614381
0.0,48.79655527,2.29197148
0.0,14.6172988,121.0457041
0.0,48.89235366,2.37311975
0.0,30.46001367,-89.10258113
0.0,35.89599988,-84.175227
0.0,10.923192,-74.8100372
0.0,44.9543233,4.8876906
0.0,26.210386,-98.2521828
0.0,29.10164023,48.1024716
-2.0,50.6001422,2.9640021
0.0,51.73983843,0.59755287
0.0,39.87330226,-86.14295125
0.0,32.68505503,-97.33105784
0.0,31.98696144,34.78441084
0.0,40.91228723,-74.71001613
-1.0,34.1613752,-99.3185826
0.0,44.31853529,-96.77548129
2.0,40.94738096,-74.30343649
1.0,52.59461928,-1.15124357
0.0,-34.6673801,-58.5072561
0.0,38.81603121,-76.05994205
0.0,41.7789523,-88.3430559
0.0,51.3845912,21.157066
0.0,41.40806771,27.36752334
0.0,-27.0938522,-48.6162451
2.0,52.52798875,-1.34786791
0.0,-23.4939514,-46.7777089
1.0,40.57578771,-105.08846708
0.0,45.43111288,-75.68212965
4.0,40.77308949,-73.97932861
0.0,48.0780603,2.2484614
0.0,5.37087,100.5817
1.0,35.24624825,-97.41792499
0.0,-26.282941,27.808572
0.0,37.78093,30.54514
0.0,39.89550753,-0.08375436
-1.0,39.15604342,-84.64289751
0.0,-37.905558,145.1202479
0.0,29.77989691,-95.24779318
0.0,43.23999813,-5.55867047
-1.0,40.97526492,29.15449619
0.0,39.5979062,-3.1233917
0.0,36.88481955,-76.29927889
0.0,40.22372606,28.8460795
0.0,3.896718,-76.2901627
0.0,-30.00880522,-51.15770943
0.0,4.433234,-75.2023853
0.0,38.1855113,-5.0304503
0.0,41.0518162,28.8660635
0.0,47.26530207,39.81720112
1.0,26.21994666,-97.66469685
0.0,40.5386595,-74.2767458
0.0,-3.0634474,-59.9565992
-1.0,-8.0446067,-34.9290572
0.0,48.88960109,2.26821844
0.0,39.3875068,-76.61581793
0.0,30.0819381,31.3238514
0.0,21.5978855,39.1671953
0.0,32.70212092,-97.44188306
0.0,48.9574984,2.1976655
6.0,41.66240537,-71.44994019
0.0,41.31754059,-72.06501246
0.0,-25.2940625,-57.6186839
4.0,51.87356038,-2.20788298
0.0,49.5651585,6.0639708
0.0,53.18637193,6.17251511
0.0,35.2445315,33.0425758
1.0,43.07086139,-89.38531398
0.0,-23.6852533,-46.7513907
-6.0,51.67651674,-0.04301279
0.0,28.6689197,-17.797932
0.0,41.65416704,-73.8649674
1.0,33.5056846,-86.8058276
0.0,48.85570597,2.43032445
0.0,51.87958994,-0.41753847
1.0,37.34825232,-121.93977246
0.0,-29.9096651,-51.1506374
2.0,29.71205566,-95.47505077
0.0,26.0444916,-98.2920176
0.0,36.8709007,-2.4455945
0.0,52.1082,5.32986
0.0,55.91948884,37.84483165
0.0,41.01572322,28.96631942
2.0,51.53949761,0.70918788
0.0,-23.6547388,-46.701445
0.0,51.5706087,4.320073
0.0,48.75131137,2.45583594
0.0,-6.18649967,106.8647511
0.0,-27.7398973,-64.239577
3.0,38.4314428,-90.9800928
0.0,52.59217462,-2.05844687
3.0,31.0380556,31.3647253
0.0,44.36224979,-64.51493341
1.0,42.85886835,-70.9369176
0.0,21.60818442,39.26510332
0.0,43.28308879,-2.16153364
0.0,-25.53063904,-49.32889529
0.0,38.3730553,27.1492691
0.0,38.46984597,27.09065002
0.0,-34.95638533,-57.9395421
0.0,-0.49968,117.15295
3.0,38.34892682,-97.19870212
0.0,10.9275,-74.79523
0.0,49.89950957,2.31650377
1.0,40.97300125,28.87508313
0.0,41.0458828,28.924095
0.0,44.15810162,28.63045692
0.0,50.83957572,-0.81498074
2.0,51.71977132,-0.0751179
0.0,52.2882635,6.5816223
0.0,-22.9052185,-43.176189
0.0,51.24138399,-1.26248058
2.0,53.64930953,-2.1838863
2.0,38.94229125,-76.92951793
0.0,26.32455,43.97303
6.0,-22.3169547,-42.5185407
0.0,-38.7402619,-62.221223
0.0,-6.33182511,106.8583296
0.0,51.0453246,-114.0581012
0.0,52.3695177,4.89373856
